address,distributed_amount
0x4bc8ea84bdc3ebb01d495e5d1605d4f082aeb5d7,3016.73
0x6102f098468139ee92f4b12f847598098b737210,2998.73
0xf88bf5b54f91a43bafd022fd5ca7f84a22ca27db,2981.10
0x2077b303c43a80eac75b5e1f19939dde54ef71a5,2976.75
0x2b1834eb9e723e1db16f641972bf35115d2d0c83,2968.87
0x8b952ff25cd73bfc988c4d41c24833be1e2c753f,2963.70
0xc74812dc4fb4a5fd1a41cd084161a0f7e90fb0be,2924.62
0x8f9d9923325bb7db5c44e21dbf25b1114e35256b,2915.64
0x108a60e6652c0c152f7cb4d616a6765117b75bd8,2907.00
0x9c62baf028c4bfc7b6cc0109b0313ef94e2994b8,2833.40
0xd456c050dd678d7ef3b7cd4310099349e170d38d,2829.99
0x06ec2f2c6521101565b8b833a763dd1b41210956,2803.30
0x3cd48a0cb9c82608e743086b1ffda59741beef3f,2800.05
0xd160c2767651df3b6bd4bc6c8e5f3a2c2031b4bd,2796.71
0x19267ccc193d4a6b5f476aeeda417d4f622fd1ff,2765.87
0x31073af0496b3b5af7152a175257e016ae2c4b0f,2762.99
0x0e3843a33072db8f97ed2ea32fb9122a0b0b17e9,2761.80
0x816feb1293f894d0154ef84c709e62a74739d19e,2760.65
0x89d8b7287569b8033e1f24298bb4d18720cd7b1c,2743.88
0x5852c1f61de8e4809efe17de9c0b08e6f9b985cc,2739.54
0xcd469f73cd8f968221b2e7bd51e34cc1662d44f1,2702.53
0x94a42d025a7fdfade4133c26771b31720a3cc85c,2697.07
0xfc5a720b05db97c4ea318f17ce8028a399ec2429,2645.62
0xe5f470e376554fb613a43fde223e40a3bb338765,2633.91
0x76e1e21ea36b53770aea729dc9636551357819f0,2593.53
0xb656b94ed736a3783a4c34e73c91f8f3af3b0009,2589.17
0x39a4cdf0116534915391b9e3dae8d8bfadc0d703,2536.80
0xcb53aef7fe7bf18bba3cd376fc5491cbc013b768,2513.63
0x015e5a3c43bfbe3f557d1ed4867d942ef6f60d18,2501.86
0x3c7abe1851ff26f31e2ed5c9ad7fa51e8323e316,2445.58
0x36048fd5f23562ce6360014d3645d9a1d926449b,2445.43
0xd1e676248071578f5e51c16088e44e71c4781555,2436.23
0xb36d479cce55d03ffa4710199dbc7881919f5bcc,2435.11
0x1b80e501e397dbf8b7d86d06bd42679d61cac756,2421.62
0x2946b51bcc891b20db10b9569596adf8a3f01503,2385.14
0xe32a0017f6fe86bc383c1bc7fb12277007742801,2378.71
0x9fca79fb30aa631a82312a7a34d0f05359c626ad,2370.98
0x3cbbc3361a54bb099743941cd00ec8b15ece3756,2357.98
0x443ad9b889d6f13e74a138c5dac456de426887b4,2351.64
0x11ccca6f8aab7c1f4cc6aab2146580e99f7847c2,2351.23
0xfff36c4673cdc1bb630b8934b33776aeb7abfe74,2321.68
0xe40811f07c35da0abdeae2487312833421d7cb56,2320.40
0xcc3ad59dd9063cbeac067a3e649ce57e119ae149,2293.24
0x46143b38e1418ff86e2fa938c588b2edfb2ed4c1,2282.05
0x17ff364df18b2e2d30b6ba93cfc877f919e72f7a,2240.29
